,gene_id,gene_type,gene_name
418374,ENSMUSG00000081319.1,processed_pseudogene,Gm12936
418377,ENSMUSG00000073755.4,protein_coding,5730409E04Rik
418395,ENSMUSG00000081210.1,processed_pseudogene,Gm12933
418398,ENSMUSG00000028837.8,protein_coding,Psmb2
418426,ENSMUSG00000042477.7,protein_coding,Tfap2e
418446,ENSMUSG00000028833.13,protein_coding,Ncdn
418495,ENSMUSG00000028830.14,protein_coding,AU040320
418698,ENSMUSG00000082498.1,processed_pseudogene,Gm12937
418702,ENSMUSG00000077780.1,snoRNA,Gm24161
418705,ENSMUSG00000088984.1,snoRNA,Gm25604
418708,ENSMUSG00000042446.16,protein_coding,Zmym4
418855,ENSMUSG00000081609.1,processed_pseudogene,Gm12939
418858,ENSMUSG00000028820.13,protein_coding,Sfpq
418915,ENSMUSG00000085334.7,processed_transcript,Gm12940
418932,ENSMUSG00000084088.1,processed_pseudogene,Gm12941
418935,ENSMUSG00000043872.14,protein_coding,Zmym1
419022,ENSMUSG00000084149.1,processed_pseudogene,Gm12944
419025,ENSMUSG00000042408.13,protein_coding,Zmym6
419114,ENSMUSG00000088982.1,snRNA,Gm25600
419117,ENSMUSG00000070737.10,protein_coding,Tmem35b
419140,ENSMUSG00000082220.3,processed_pseudogene,Gm12943
419143,ENSMUSG00000042388.14,protein_coding,Dlgap3
419230,ENSMUSG00000042380.8,protein_coding,Smim12
419240,ENSMUSG00000087987.1,snRNA,Gm22221
419243,ENSMUSG00000082047.1,processed_pseudogene,Gm12948
419246,ENSMUSG00000050234.7,protein_coding,Gja4
419256,ENSMUSG00000042367.12,protein_coding,Gjb3
419275,ENSMUSG00000046623.8,protein_coding,Gjb4
419294,ENSMUSG00000042357.2,protein_coding,Gjb5
419304,ENSMUSG00000079998.2,processed_pseudogene,Gm12947
419307,ENSMUSG00000086138.7,lincRNA,4930471C06Rik
419314,ENSMUSG00000086771.1,lincRNA,1700080G11Rik
419318,ENSMUSG00000087470.1,lincRNA,A630031M04Rik
419326,ENSMUSG00000087510.1,lincRNA,1700112K13Rik
419330,ENSMUSG00000028813.2,protein_coding,CK137956
419350,ENSMUSG00000028804.20,protein_coding,Csmd2
419574,ENSMUSG00000087459.8,antisense,Csmd2os
419586,ENSMUSG00000048686.4,protein_coding,Hmgb4
419594,ENSMUSG00000085717.1,antisense,Hmgb4os
419599,ENSMUSG00000061894.15,protein_coding,Zscan20
419666,ENSMUSG00000062545.4,protein_coding,Tlr12
419677,ENSMUSG00000084891.1,lincRNA,Gm12958
419681,ENSMUSG00000028796.17,protein_coding,Phc2
419879,ENSMUSG00000028794.13,protein_coding,A3galt2
419910,ENSMUSG00000028799.15,protein_coding,Zfp362
419974,ENSMUSG00000085701.1,lincRNA,Gm12968
419978,ENSMUSG00000084011.1,processed_pseudogene,Gm12969
419981,ENSMUSG00000041000.8,protein_coding,Trim62
420014,ENSMUSG00000028789.16,protein_coding,Azin2
420128,ENSMUSG00000085961.1,antisense,Gm15904
420133,ENSMUSG00000028792.14,protein_coding,Ak2
420191,ENSMUSG00000085085.2,lincRNA,1700086P04Rik
420195,ENSMUSG00000028793.15,protein_coding,Rnf19b
420297,ENSMUSG00000028786.15,protein_coding,Tmem54
420358,ENSMUSG00000028785.13,protein_coding,Hpca
420470,ENSMUSG00000087416.1,lincRNA,Gm15906
420474,ENSMUSG00000001334.9,protein_coding,Fndc5
420492,ENSMUSG00000040928.15,protein_coding,S100pbp
420657,ENSMUSG00000028811.11,protein_coding,Yars
420733,ENSMUSG00000050390.12,protein_coding,C77080
420813,ENSMUSG00000087575.7,lincRNA,Gm12976
420820,ENSMUSG00000093163.1,miRNA,Gm22994
420823,ENSMUSG00000001333.9,protein_coding,Sync
420843,ENSMUSG00000057236.10,protein_coding,Rbbp4
420890,ENSMUSG00000096944.1,lincRNA,Gm26722
420894,ENSMUSG00000057572.15,protein_coding,Zbtb8os
420970,ENSMUSG00000028807.2,protein_coding,Zbtb8a
420986,ENSMUSG00000082468.1,processed_pseudogene,Gm12980
420989,ENSMUSG00000048485.12,protein_coding,Zbtb8b
421022,ENSMUSG00000064613.1,snRNA,Gm24621
421025,ENSMUSG00000040859.14,protein_coding,Bsdc1
421089,ENSMUSG00000000411.7,protein_coding,Tssk3
421099,ENSMUSG00000078554.2,protein_coding,Fam229a
421114,ENSMUSG00000086336.1,antisense,Gm12979
421119,ENSMUSG00000047945.6,protein_coding,Marcksl1
421129,ENSMUSG00000028800.15,protein_coding,Hdac1
421187,ENSMUSG00000000409.14,protein_coding,Lck
421309,ENSMUSG00000099070.1,miRNA,Mir8119
421312,ENSMUSG00000050493.8,protein_coding,Fam167b
421325,ENSMUSG00000028798.16,protein_coding,Eif3i
421380,ENSMUSG00000028797.20,protein_coding,Tmem234
421630,ENSMUSG00000078552.10,protein_coding,Dcdc2b
421673,ENSMUSG00000040795.12,protein_coding,Iqcc
421711,ENSMUSG00000028795.15,protein_coding,Ccdc28b
421794,ENSMUSG00000053841.15,protein_coding,Txlna
421907,ENSMUSG00000003731.13,protein_coding,Kpna6
421997,ENSMUSG00000053730.15,protein_coding,Tmem39b
422077,ENSMUSG00000098422.1,miRNA,Mir7016
422080,ENSMUSG00000028790.13,protein_coding,Khdrbs1
422140,ENSMUSG00000080944.1,processed_pseudogene,Gm12967
422143,ENSMUSG00000099322.1,miRNA,Gm28017
422146,ENSMUSG00000028788.14,protein_coding,Ptp4a2
422198,ENSMUSG00000073753.4,pseudogene,Gm10571
422202,ENSMUSG00000065768.1,snRNA,Gm23845
422205,ENSMUSG00000070729.5,processed_pseudogene,Gm12966
422208,ENSMUSG00000086369.7,lincRNA,E330017L17Rik
422226,ENSMUSG00000028784.14,protein_coding,Spocd1
422273,ENSMUSG00000085389.7,lincRNA,1700003M07Rik
422283,ENSMUSG00000028782.14,protein_coding,Adgrb2
422740,ENSMUSG00000085517.7,antisense,Gm12963
422759,ENSMUSG00000040690.15,protein_coding,Col16a1
423361,ENSMUSG00000028779.16,protein_coding,Pef1
423394,ENSMUSG00000028778.15,protein_coding,Hcrtr1
423482,ENSMUSG00000028776.14,protein_coding,Tinagl1
423629,ENSMUSG00000023120.9,protein_coding,Gm853
423658,ENSMUSG00000023232.17,protein_coding,Serinc2
423764,ENSMUSG00000073752.1,protein_coding,Gm10570
423770,ENSMUSG00000028773.8,protein_coding,Fabp3
423784,ENSMUSG00000028772.19,protein_coding,Zcchc17
423823,ENSMUSG00000074088.6,protein_coding,Snrnp40
423862,ENSMUSG00000078532.9,protein_coding,Nkain1
423904,ENSMUSG00000028580.15,protein_coding,Pum1
424158,ENSMUSG00000065196.1,snoRNA,Snord85
424161,ENSMUSG00000087449.1,sense_intronic,Gm12971
424165,ENSMUSG00000093793.1,snoRNA,Gm24091
424168,ENSMUSG00000097158.1,lincRNA,Gm26516
424172,ENSMUSG00000095119.1,snoRNA,Gm23711
424175,ENSMUSG00000086548.1,lincRNA,Gm12972
424181,ENSMUSG00000025743.14,protein_coding,Sdc3
424222,ENSMUSG00000087451.1,antisense,Gm12970
424226,ENSMUSG00000097224.1,antisense,Gm26716
424230,ENSMUSG00000077381.1,snoRNA,Gm22660
424233,ENSMUSG00000028581.17,protein_coding,Laptm5
424325,ENSMUSG00000040533.7,protein_coding,Matn1
424347,ENSMUSG00000085804.1,lincRNA,Gm12973
424353,ENSMUSG00000086262.7,lincRNA,A930031H19Rik
424366,ENSMUSG00000088041.1,snoRNA,Gm25261
424369,ENSMUSG00000078531.3,lincRNA,Gm831
424379,ENSMUSG00000087171.1,lincRNA,Gm12962
424387,ENSMUSG00000086856.1,lincRNA,Gm16080
424394,ENSMUSG00000028909.17,protein_coding,Ptpru
424621,ENSMUSG00000028910.12,protein_coding,Mecr
424705,ENSMUSG00000028911.16,protein_coding,Srsf4
424760,ENSMUSG00000102602.1,TEC,A930004J17Rik
424763,ENSMUSG00000085667.1,processed_transcript,Gm12992
424773,ENSMUSG00000083013.1,transcribed_processed_pseudogene,Gm12978
424776,ENSMUSG00000070720.3,protein_coding,Tmem200b
424783,ENSMUSG00000028906.16,protein_coding,Epb41
425333,ENSMUSG00000098577.1,miRNA,Gm27445
425336,ENSMUSG00000084869.1,lincRNA,Gm13063
425340,ENSMUSG00000070717.1,protein_coding,Gm10300
425346,ENSMUSG00000083368.1,processed_pseudogene,Gm13214
425349,ENSMUSG00000102796.1,TEC,Gm37711
425353,ENSMUSG00000050511.1,protein_coding,Oprd1
425365,ENSMUSG00000081394.1,processed_pseudogene,Gm13215
425368,ENSMUSG00000040025.17,protein_coding,Ythdf2
425411,ENSMUSG00000080597.2,miRNA,Gm22033
425414,ENSMUSG00000083757.2,transcribed_processed_pseudogene,Rps15a-ps4
425419,ENSMUSG00000028901.13,protein_coding,Gmeb1
425530,ENSMUSG00000084105.1,processed_pseudogene,Gm13252
425533,ENSMUSG00000100813.1,lincRNA,Gm28874
425536,ENSMUSG00000099937.1,lincRNA,Gm28872
425539,ENSMUSG00000077323.1,snRNA,Rnu11
425542,ENSMUSG00000028899.11,protein_coding,Taf12
425582,ENSMUSG00000089687.2,protein_coding,Rab42
425592,ENSMUSG00000086290.9,lincRNA,Snhg12
425637,ENSMUSG00000105911.1,snoRNA,Snora16a
425640,ENSMUSG00000065097.1,snoRNA,Snora16a
425643,ENSMUSG00000064604.1,snoRNA,Snora44
425646,ENSMUSG00000064949.1,snoRNA,Snora61
425649,ENSMUSG00000080615.1,snoRNA,Snord99
425652,ENSMUSG00000028898.15,protein_coding,Trnau1ap
425809,ENSMUSG00000028896.13,protein_coding,Rcc1
425919,ENSMUSG00000085241.7,processed_transcript,Snhg3
425940,ENSMUSG00000091021.1,lincRNA,Gm17300
425944,ENSMUSG00000065353.1,snoRNA,Snora73b
425947,ENSMUSG00000064387.1,snoRNA,Snora73a
425950,ENSMUSG00000066043.13,protein_coding,Phactr4
426080,ENSMUSG00000096350.1,miRNA,Gm25707
426083,ENSMUSG00000064739.1,snRNA,Gm23055
426086,ENSMUSG00000066042.4,protein_coding,Med18
426105,ENSMUSG00000028893.8,protein_coding,Sesn2
426131,ENSMUSG00000086997.1,antisense,Gm12981
426135,ENSMUSG00000054428.12,protein_coding,Atpif1
426159,ENSMUSG00000087352.1,antisense,Gm12999
426163,ENSMUSG00000054405.14,protein_coding,Dnajc8
426345,ENSMUSG00000065623.1,snRNA,Gm24762
426348,ENSMUSG00000056529.7,protein_coding,Ptafr
426358,ENSMUSG00000028886.15,protein_coding,Eya3
426620,ENSMUSG00000037752.4,protein_coding,Xkr8
426639,ENSMUSG00000028885.8,protein_coding,Smpdl3b
426661,ENSMUSG00000028884.14,protein_coding,Rpa2
426712,ENSMUSG00000037731.5,protein_coding,Themis2
426730,ENSMUSG00000081647.1,processed_pseudogene,Gm13022
426733,ENSMUSG00000028882.13,protein_coding,Ppp1r8
426786,ENSMUSG00000088990.1,scaRNA,Gm22767
426789,ENSMUSG00000028879.4,protein_coding,Stx12
426819,ENSMUSG00000083816.3,processed_pseudogene,Gm13033
426827,ENSMUSG00000028878.11,protein_coding,Fam76a
426885,ENSMUSG00000087911.1,snRNA,Gm24913
426888,ENSMUSG00000028874.14,protein_coding,Fgr
426968,ENSMUSG00000037692.14,protein_coding,Ahdc1
427079,ENSMUSG00000097088.1,lincRNA,Gm26615
427083,ENSMUSG00000028868.13,protein_coding,Wasf2
427147,ENSMUSG00000089298.1,misc_RNA,Gm24636
427150,ENSMUSG00000099202.1,miRNA,Mir7017
427153,ENSMUSG00000049649.8,protein_coding,Gpr3
427177,ENSMUSG00000028865.14,protein_coding,Cd164l2
427220,ENSMUSG00000028862.6,protein_coding,Map3k6
427299,ENSMUSG00000028860.13,protein_coding,Sytl1
427386,ENSMUSG00000028857.16,protein_coding,Tmem222
427457,ENSMUSG00000083241.1,processed_pseudogene,Gm13259
427460,ENSMUSG00000037622.14,protein_coding,Wdtc1
427553,ENSMUSG00000028854.9,protein_coding,Slc9a1
427602,ENSMUSG00000092745.1,miRNA,Mir5122
427605,ENSMUSG00000086850.1,antisense,Gm13257
427609,ENSMUSG00000046694.6,protein_coding,Tent5b
427619,ENSMUSG00000056596.8,protein_coding,Trnp1
427633,ENSMUSG00000037600.16,protein_coding,Kdf1
427685,ENSMUSG00000028851.6,protein_coding,Nudc
427714,ENSMUSG00000037583.2,protein_coding,Nr0b2
427724,ENSMUSG00000093886.1,miRNA,Gm23158
427727,ENSMUSG00000028850.2,protein_coding,Gpatch3
427752,ENSMUSG00000028848.13,protein_coding,Gpn2
427786,ENSMUSG00000047281.3,protein_coding,Sfn
427794,ENSMUSG00000037553.14,protein_coding,Zdhhc18
427834,ENSMUSG00000083885.1,processed_pseudogene,Gm13213
427837,ENSMUSG00000093031.2,misc_RNA,Gm22662
427840,ENSMUSG00000043257.15,protein_coding,Pigv
427869,ENSMUSG00000007880.16,protein_coding,Arid1a
428024,ENSMUSG00000104566.1,miRNA,Mir7227
428027,ENSMUSG00000084555.1,snRNA,Gm25270
428030,ENSMUSG00000084789.1,lincRNA,Gm12974
428034,ENSMUSG00000003644.17,protein_coding,Rps6ka1
428334,ENSMUSG00000085009.1,antisense,Gm12977
428342,ENSMUSG00000080946.1,processed_pseudogene,Gm12985
428345,ENSMUSG00000089321.1,snRNA,Gm22523
428348,ENSMUSG00000003038.15,protein_coding,Hmgn2
428490,ENSMUSG00000012117.13,protein_coding,Dhdds
428661,ENSMUSG00000050966.9,protein_coding,Lin28a
428702,ENSMUSG00000087288.1,processed_transcript,Gm13061
428706,ENSMUSG00000049410.8,protein_coding,Zfp683
428722,ENSMUSG00000012123.17,protein_coding,Crybg2
428897,ENSMUSG00000000682.7,protein_coding,Cd52
428913,ENSMUSG00000012126.16,protein_coding,Ubxn11
429060,ENSMUSG00000028843.8,protein_coding,Sh3bgrl3
429084,ENSMUSG00000037443.13,protein_coding,Cep85
429190,ENSMUSG00000098693.1,snoRNA,Gm27619
429193,ENSMUSG00000073747.2,protein_coding,Gm7534
429215,ENSMUSG00000081772.1,processed_pseudogene,Gm13131
429218,ENSMUSG00000048003.12,protein_coding,Catsper4
429286,ENSMUSG00000028841.14,protein_coding,Cnksr1
429379,ENSMUSG00000028840.10,protein_coding,Zfp593
429394,ENSMUSG00000086322.7,protein_coding,E130218I03Rik
429489,ENSMUSG00000108398.1,protein_coding,Gm30191
429503,ENSMUSG00000050105.5,protein_coding,Grrp1
429516,ENSMUSG00000050890.15,protein_coding,Pdik1l
429573,ENSMUSG00000028834.13,protein_coding,Trim63
429631,ENSMUSG00000083065.1,processed_pseudogene,Gm13195
429634,ENSMUSG00000028836.14,protein_coding,Slc30a2
429715,ENSMUSG00000028838.11,protein_coding,Extl1
429756,ENSMUSG00000037366.14,protein_coding,Pafah2
429844,ENSMUSG00000087343.1,antisense,1700021N21Rik
429849,ENSMUSG00000028832.11,protein_coding,Stmn1
429907,ENSMUSG00000092812.1,miRNA,Gm23634
429910,ENSMUSG00000083001.1,processed_pseudogene,Gm13250
429913,ENSMUSG00000037348.15,protein_coding,Paqr7
429967,ENSMUSG00000078521.2,protein_coding,Aunip
429979,ENSMUSG00000046671.18,protein_coding,Mtfr1l
430079,ENSMUSG00000050989.9,protein_coding,Selenon
430113,ENSMUSG00000037306.13,protein_coding,Man1c1
430184,ENSMUSG00000099289.1,miRNA,Mir6403
430187,ENSMUSG00000037295.7,protein_coding,Ldlrap1
430220,ENSMUSG00000028826.14,protein_coding,Maco1
430298,ENSMUSG00000028825.7,protein_coding,Rhd
430330,ENSMUSG00000028822.11,protein_coding,Tmem50a
430369,ENSMUSG00000037266.18,protein_coding,Rsrp1
430421,ENSMUSG00000028821.8,protein_coding,Syf2
430451,ENSMUSG00000086884.1,lincRNA,Gm16225
430455,ENSMUSG00000070691.10,protein_coding,Runx3
430500,ENSMUSG00000084986.1,antisense,Gm16224
430504,ENSMUSG00000037242.8,protein_coding,Clic4
430526,ENSMUSG00000087270.2,processed_pseudogene,Gm12983
430529,ENSMUSG00000085002.1,antisense,Gm12984
430534,ENSMUSG00000082833.1,processed_pseudogene,Gm12982
430537,ENSMUSG00000028809.16,protein_coding,Srrm1
430790,ENSMUSG00000043924.16,protein_coding,Ncmap
430892,ENSMUSG00000084032.1,processed_pseudogene,Gm12991
430895,ENSMUSG00000081136.1,processed_pseudogene,Gm12990
430898,ENSMUSG00000059713.12,protein_coding,Rcan3
430936,ENSMUSG00000076123.1,miRNA,Mir700
430939,ENSMUSG00000087016.1,sense_intronic,Gm15979
430943,ENSMUSG00000028803.18,protein_coding,Nipal3
431079,ENSMUSG00000103955.1,TEC,Gm37270
431082,ENSMUSG00000028801.14,protein_coding,Stpg1
431121,ENSMUSG00000080474.1,miRNA,Gm25317
431124,ENSMUSG00000037188.7,protein_coding,Grhl3
431162,ENSMUSG00000088179.1,snRNA,Gm23106
431165,ENSMUSG00000086788.2,lincRNA,1700029M20Rik
431180,ENSMUSG00000062157.6,protein_coding,Ifnlr1
431200,ENSMUSG00000083678.3,processed_pseudogene,Gm12989
431203,ENSMUSG00000037157.8,protein_coding,Il22ra1
431223,ENSMUSG00000082743.1,processed_pseudogene,Gm12988
431226,ENSMUSG00000037139.15,protein_coding,Myom3
431326,ENSMUSG00000081672.1,processed_pseudogene,Gm13000
431329,ENSMUSG00000028676.17,protein_coding,Srsf10
431424,ENSMUSG00000028675.12,protein_coding,Pnrc2
431453,ENSMUSG00000083430.1,processed_pseudogene,Gm13006
431456,ENSMUSG00000062585.11,protein_coding,Cnr2
431475,ENSMUSG00000028673.10,protein_coding,Fuca1
431512,ENSMUSG00000028672.13,protein_coding,Hmgcl
431561,ENSMUSG00000028671.16,protein_coding,Gale
431652,ENSMUSG00000028670.14,protein_coding,Lypla2
431723,ENSMUSG00000028669.15,protein_coding,Pithd1
431784,ENSMUSG00000083852.1,processed_pseudogene,Gm13007
431787,ENSMUSG00000028668.5,protein_coding,Eloa
431815,ENSMUSG00000085714.1,antisense,Gm13008
431819,ENSMUSG00000097995.1,sense_intronic,Gm24362
431822,ENSMUSG00000059291.15,protein_coding,Rpl11
431888,ENSMUSG00000082877.1,processed_pseudogene,Gm13009
431892,ENSMUSG00000088614.1,snRNA,Gm26001
431895,ENSMUSG00000007872.3,protein_coding,Id3
431913,ENSMUSG00000018983.9,protein_coding,E2f2
431938,ENSMUSG00000036995.7,protein_coding,Asap3
431994,ENSMUSG00000001604.14,protein_coding,Tcea3
432047,ENSMUSG00000051351.14,protein_coding,Zfp46
432091,ENSMUSG00000081330.1,processed_pseudogene,Gm13013
432094,ENSMUSG00000066037.14,protein_coding,Hnrnpr
432265,ENSMUSG00000098155.1,lincRNA,Gm27022
432269,ENSMUSG00000070687.11,protein_coding,Htr1d
432304,ENSMUSG00000066178.2,protein_coding,6030445D17Rik
432312,ENSMUSG00000001089.14,protein_coding,Luzp1
432380,ENSMUSG00000036940.15,protein_coding,Kdm1a
432563,ENSMUSG00000082711.1,processed_pseudogene,Gm12987
432566,ENSMUSG00000083054.1,processed_pseudogene,Gm12986
432569,ENSMUSG00000092747.1,miRNA,Gm22180
432572,ENSMUSG00000036921.2,protein_coding,Tex46
432582,ENSMUSG00000070683.7,protein_coding,Lactbl1
432604,ENSMUSG00000103119.1,TEC,Gm37583
432607,ENSMUSG00000028664.14,protein_coding,Ephb2
432740,ENSMUSG00000036905.8,protein_coding,C1qb
432752,ENSMUSG00000036896.5,protein_coding,C1qc
432767,ENSMUSG00000036887.5,protein_coding,C1qa
432779,ENSMUSG00000028661.8,protein_coding,Epha8
432819,ENSMUSG00000060862.10,protein_coding,Zbtb40
432877,ENSMUSG00000077624.1,snoRNA,Gm23834
432880,ENSMUSG00000085542.1,lincRNA,1700037C06Rik
432883,ENSMUSG00000087417.1,lincRNA,Gm13001
432887,ENSMUSG00000085833.2,lincRNA,Gm13003
432893,ENSMUSG00000093294.1,miRNA,Gm25399
432896,ENSMUSG00000092848.1,miRNA,Gm23263
432899,ENSMUSG00000080806.1,processed_pseudogene,Gm13005
432903,ENSMUSG00000082149.1,processed_pseudogene,Gm13002
432906,ENSMUSG00000036856.4,protein_coding,Wnt4
432922,ENSMUSG00000006699.17,protein_coding,Cdc42
432957,ENSMUSG00000089199.1,snRNA,Gm25772
432960,ENSMUSG00000101493.1,lincRNA,2810405F17Rik
432963,ENSMUSG00000070667.7,processed_pseudogene,Rpl31-ps10
432966,ENSMUSG00000078520.3,protein_coding,Cela3a
432988,ENSMUSG00000023433.8,protein_coding,Cela3b
433013,ENSMUSG00000086845.1,antisense,Gm13010
433019,ENSMUSG00000041399.3,protein_coding,1700013G24Rik
433029,ENSMUSG00000028763.17,protein_coding,Hspg2
433431,ENSMUSG00000099134.1,miRNA,Mir7018
433434,ENSMUSG00000094035.1,protein_coding,Ldlrad2
433445,ENSMUSG00000043411.15,protein_coding,Usp48
433738,ENSMUSG00000041351.16,protein_coding,Rap1gap
434011,ENSMUSG00000087476.1,antisense,Rap1gapos
434015,ENSMUSG00000028766.10,protein_coding,Alpl
434097,ENSMUSG00000057530.14,protein_coding,Ece1
434165,ENSMUSG00000085823.7,antisense,Gm13012
434176,ENSMUSG00000028760.16,protein_coding,Eif4g3
434652,ENSMUSG00000084804.1,antisense,1700095J12Rik
434656,ENSMUSG00000098513.1,miRNA,Mir6399
434659,ENSMUSG00000078519.3,lincRNA,2310026L22Rik
434663,ENSMUSG00000028759.13,protein_coding,Hp1bp3
434930,ENSMUSG00000045349.15,protein_coding,Sh2d5
435007,ENSMUSG00000028758.12,protein_coding,Kif17
435113,ENSMUSG00000028757.4,protein_coding,Ddost
435141,ENSMUSG00000028756.12,protein_coding,Pink1
435197,ENSMUSG00000099200.1,miRNA,Mir7019
435200,ENSMUSG00000098364.1,miRNA,Gm27646
435203,ENSMUSG00000028755.3,protein_coding,Cda
435220,ENSMUSG00000078235.3,protein_coding,Fam43b
435228,ENSMUSG00000046109.6,antisense,AB041806
435232,ENSMUSG00000083326.4,processed_pseudogene,Rpl38-ps1
435235,ENSMUSG00000041241.12,protein_coding,Mul1
435277,ENSMUSG00000046447.3,protein_coding,Camk2n1
435287,ENSMUSG00000028753.12,protein_coding,Vwa5b1
435395,ENSMUSG00000088589.1,snRNA,Gm22961
435398,ENSMUSG00000043621.13,protein_coding,Ubxn10
435449,ENSMUSG00000028750.12,protein_coding,Pla2g2c
435499,ENSMUSG00000028749.7,protein_coding,Pla2g2f
435515,ENSMUSG00000041202.12,protein_coding,Pla2g2d
435542,ENSMUSG00000041193.15,protein_coding,Pla2g5
435625,ENSMUSG00000087894.1,snRNA,Gm25280
435628,ENSMUSG00000058908.14,polymorphic_pseudogene,Pla2g2a
435669,ENSMUSG00000078518.1,protein_coding,Gm13030
435681,ENSMUSG00000028751.13,protein_coding,Pla2g2e
435723,ENSMUSG00000041161.8,protein_coding,Otud3
435745,ENSMUSG00000070661.6,protein_coding,Rnf186
435753,ENSMUSG00000041143.16,protein_coding,Tmco4
435857,ENSMUSG00000028747.10,protein_coding,Htr6
435882,ENSMUSG00000110296.1,antisense,Gm45533
435886,ENSMUSG00000041120.6,protein_coding,Nbl1
435907,ENSMUSG00000050608.11,protein_coding,Minos1
435935,ENSMUSG00000083238.1,processed_pseudogene,Hspe1-ps4
435939,ENSMUSG00000073739.3,antisense,Gm16287
435944,ENSMUSG00000028745.18,protein_coding,Capzb
436102,ENSMUSG00000028744.15,protein_coding,Pqlc2
436214,ENSMUSG00000028743.7,protein_coding,Akr7a5
436237,ENSMUSG00000092909.1,miRNA,Gm25732
436240,ENSMUSG00000087943.1,miRNA,Gm24245
436243,ENSMUSG00000083404.1,unprocessed_pseudogene,Gm13019
436247,ENSMUSG00000080708.1,processed_pseudogene,Ccnd3-ps
436250,ENSMUSG00000028741.13,protein_coding,Mrto4
436325,ENSMUSG00000078517.12,protein_coding,Emc1
436525,ENSMUSG00000066036.14,protein_coding,Ubr4
437147,ENSMUSG00000097731.1,lincRNA,2700016F22Rik
437151,ENSMUSG00000041025.15,protein_coding,Iffo2
437231,ENSMUSG00000094359.1,miRNA,Gm25571
437234,ENSMUSG00000094439.1,protein_coding,Gm21969
437300,ENSMUSG00000028737.15,protein_coding,Aldh4a1
437357,ENSMUSG00000098569.1,miRNA,Mir7020
437360,ENSMUSG00000028738.14,protein_coding,Tas1r2
437397,ENSMUSG00000028736.13,protein_coding,Pax7
437444,ENSMUSG00000087646.1,lincRNA,Gm1667
437449,ENSMUSG00000087628.1,lincRNA,Gm13028
437453,ENSMUSG00000085928.1,lincRNA,4933427I22Rik
437463,ENSMUSG00000078234.6,protein_coding,Klhdc7a
437471,ENSMUSG00000089294.1,miRNA,Mir2139
437474,ENSMUSG00000040972.8,protein_coding,Igsf21
437500,ENSMUSG00000085968.1,antisense,Gm13027
437504,ENSMUSG00000086164.1,antisense,Gm13029
437509,ENSMUSG00000103107.1,TEC,Gm9867
437512,ENSMUSG00000087084.1,lincRNA,Gm13016
437517,ENSMUSG00000086960.1,lincRNA,Gm13017
437521,ENSMUSG00000086437.2,lincRNA,Gm13021
437527,ENSMUSG00000085047.1,lincRNA,Gm13026
437531,ENSMUSG00000040964.16,protein_coding,Arhgef10l
437973,ENSMUSG00000086159.1,lincRNA,Gm13025
437979,ENSMUSG00000095878.1,miRNA,Gm23045
437982,ENSMUSG00000040945.13,protein_coding,Rcc2
438068,ENSMUSG00000093071.1,miRNA,Gm25951
438071,ENSMUSG00000040935.12,protein_coding,Padi6
438128,ENSMUSG00000025330.6,protein_coding,Padi4
438180,ENSMUSG00000025328.9,protein_coding,Padi3
438253,ENSMUSG00000085918.1,processed_transcript,Gm13032
438258,ENSMUSG00000025329.3,protein_coding,Padi1
438296,ENSMUSG00000087045.1,lincRNA,4930515B02Rik
438301,ENSMUSG00000028927.6,protein_coding,Padi2
438350,ENSMUSG00000064443.1,snRNA,Gm26226
438353,ENSMUSG00000087698.1,antisense,Gm13031
438359,ENSMUSG00000009863.14,protein_coding,Sdhb
438394,ENSMUSG00000036622.15,protein_coding,Atp13a2
438636,ENSMUSG00000060572.17,protein_coding,Mfap2
438691,ENSMUSG00000040860.16,protein_coding,Crocc
439055,ENSMUSG00000028923.14,protein_coding,Necap2
439152,ENSMUSG00000082246.1,processed_pseudogene,Gm13047
439155,ENSMUSG00000045004.3,protein_coding,Spata21
439197,ENSMUSG00000040842.17,protein_coding,Szrd1
439235,ENSMUSG00000097620.7,antisense,4921514A10Rik
439243,ENSMUSG00000028920.9,protein_coding,Fbxo42
439274,ENSMUSG00000073733.4,protein_coding,Rsg1
439301,ENSMUSG00000103366.1,TEC,C630004L07Rik
439306,ENSMUSG00000028919.11,protein_coding,Arhgef19
439407,ENSMUSG00000085774.1,antisense,Gm13055
439411,ENSMUSG00000085395.1,lincRNA,Gm13056
439415,ENSMUSG00000006445.3,protein_coding,Epha2
439468,ENSMUSG00000093180.1,miRNA,Gm25690
439471,ENSMUSG00000085836.1,lincRNA,Gm13074
439475,ENSMUSG00000084238.1,processed_pseudogene,Gm13076
439478,ENSMUSG00000006218.4,protein_coding,Fam131c
439498,ENSMUSG00000033770.13,protein_coding,Clcnka
439608,ENSMUSG00000086061.7,antisense,Gm13075
439619,ENSMUSG00000006216.10,protein_coding,Clcnkb
439721,ENSMUSG00000006221.7,protein_coding,Hspb7
439733,ENSMUSG00000070637.2,protein_coding,Srarp
439743,ENSMUSG00000006215.12,protein_coding,Zbtb17
439834,ENSMUSG00000040761.16,protein_coding,Spen
439921,ENSMUSG00000048406.5,pseudogene,B330016D10Rik
439926,ENSMUSG00000006219.12,protein_coding,Fblim1
440129,ENSMUSG00000043085.14,protein_coding,Tmem82
440170,ENSMUSG00000073731.12,antisense,AI507597
440179,ENSMUSG00000040740.7,protein_coding,Slc25a34
440195,ENSMUSG00000028917.14,protein_coding,Plekhm2
